,x,y,u,v,p
41,0.04800000000000001,-0.04400000000000001,-4.091715696302264e-05,4.2454135223879346e-05,-4.091715696302264e-05
42,0.04900000000000001,-0.04300000000000001,-1.6807514567505074e-05,4.8404896854256116e-05,-1.6807514567505074e-05
43,0.042,-0.05000000000000001,-1.1801388051263606e-11,1.7806656397208259e-12,-1.1801388051263606e-11
44,0.05000000000000001,-0.04200000000000001,2.798238055713296e-12,-1.4509747125813785e-11,2.798238055713296e-12
45,0.042,-0.04900000000000001,-3.2733894833424935e-06,-2.7852077202499063e-05,-3.2733894833424935e-06
46,0.043000000000000003,-0.04800000000000001,-3.12920899906399e-05,-7.964192453687276e-05,-3.12920899906399e-05
47,0.044000000000000004,-0.04700000000000001,-7.271471076117581e-05,-0.00012012988363382457,-7.271471076117581e-05
48,0.045000000000000005,-0.046000000000000006,-0.00011018347209033561,-0.000131562892242279,-0.00011018347209033561
49,0.046000000000000006,-0.04500000000000001,-0.00012752060833424165,-0.00011176399905511024,-0.00012752060833424165
50,0.04700000000000001,-0.04400000000000001,-0.00011548794404305647,-7.060394349417862e-05,-0.00011548794404305647
51,0.04800000000000001,-0.04300000000000001,-7.619548118231625e-05,-2.5692204356080195e-05,-7.619548118231625e-05
52,0.04900000000000001,-0.04200000000000001,-2.655840245903745e-05,3.0556169598653854e-06,-2.655840245903745e-05
53,0.041,-0.05000000000000001,-1.1801388044433812e-11,1.780665640417774e-12,-1.1801388044433812e-11
54,0.05000000000000001,-0.04100000000000001,2.7982380551941204e-12,-1.4509747128452544e-11,2.7982380551941204e-12
55,0.041,-0.04900000000000001,-7.000483171652561e-05,-3.7768628552926085e-05,-7.000483171652561e-05
